"banner","color"
"Nugget's","#cb96ff"
"OR State Store","#6c00d7"
"PALCB","#ff5050"
"Paradise Wine","#910000"
"Pavillion's","#ffc68c"
"Pete's","#cd6700"
"Pogo's","#ffffc8"
"Publix","#007d00"
"QFC","#eb00eb"
"Raley's","#f50000"
"Ralph's","#555500"
"Randall's","#99ff32"
"Roche Bros Grocery","#00d700"
"Sam's Club","#ff46a3"
"Schnuck's","#00af00"
"Scolari's","#aaffd5"
"Sherlock's","#a5a500"
"Shop N Save","#00552b"
"Sigel's","#50ffff"
"Smith's","#009191"
"Spec's","#96cbff"
"Sprouts","#8cc6ff"
"Starrs","#0067cd"
"Stew Leonards","#c8c8ff"
"Surdyk's","#1414ff"
"Target","#ff9428"
"The Cellars","#9932ff"
"Tom Thumb","#3a0073"
"Tower","#ff6eff"
"Trader Joes","#eb00eb"
"Tri-State Liquors","#af00af"
"Twin Liquors","#ffaad5"
"Von's","#a500a5"
"Walmart","#ff148a"
"Wegman's","#0f0f0f"
"Well's Liquor","#a346ff"
"Wild Oats","#00af00"
"Wine & Cheese","#3e3e3e"
"Wine Depot","#550000"
"Wine Exchange","#ffa850"
"Wine Library","#5300a5"
"Wine Merchant","#ffff6e"
"Wine Works","#006935"
"Wines & More","#d5ffaa"
"Yankee Spirits","#d2d2ff"
"Food Source","#32ff32"
"Bremerton Naval Base PX","#1c3700"
"Minks Package","#eb0076"
"The Wine Shop","#eb7600"
"Winn Dixie","#b9b900"
"Walgreens","#c8ffff"
"Bi Lo","#00e1e1"
"Lowes","#50a8ff"
"Food Lion","#ff14ff"
"Stater Bros","#6e6eff"
"WinCo Foods","#0000af"
"Evergreens","#d5aaff"
"Liquor Barn","#7600eb"
"Prospect Party Center","#1c0037"
"Westport Whiskey & Wine","#ff50ff"
"Beverage Warehouse","#910091"
"Party Mart","#ff8cc6"
"Fiesta Mart","#ff9428"
"Sendik's Food Market","#7600eb"
"Discount Liquor","#ffa346"
"Ray's Wine and Spirits","#874400"
"Otto's Wine and Spirits","#ffff82"
"Metro Market","#c3c300"
"Woodman's","#eb00eb"
"Pick 'N Save","#eb0000"
"Broudy's Liquors","#28ff28"
"Dorn's Liquors & Wine","#006900"
"LQR MKT","#64ffb2"
"Lexington Beverage Outlet","#ff850a"
"Savemart","#beffff"
"Grape Tray","#0affff"
"Sierra Nut House","#004b4b"
"Vino and Friends","#46a3ff"
"The Meat Market","#004487"
"Sam's Deli","#8282ff"
"Draeger's Market","#0000c3"
"Bel Air","#e1e100"
"ACME Markets","#010101"
"Citi Wine & Spirits","#8a14ff"
"B-21 Fine Wine & Spirits","#ff28ff"
"Whispering Vine Wine Company","#690069"
"ShopRite","#ff64ff"
"Frair Tuck","#c30062"
"Nob Hill Foods","#dfdfdf"
"99 Ranch Market","#858585"
"Merchants Liquor Mart","#006900"
"Crown Liquors","#010101"
"Lidl","#00cd00"
"Heritage Liquors & Wine","#010101"
"Beverage Barn","#f50000"
"Kegs & Cases","#00552b"
"Houston Wine Merchant","#010101"
"Cub Foods","#a0ffa0"
"Hy-Vee","#00e100"
"Steve's Liquor","#004b00"
"WineXpress","#008744"
"Meijer","#ff148a"
"Tipsy","#00c3c3"
"Applejack","#bedfff"
"Argonaut Wine and Liquor","#0a85ff"
"Davidson Liquor","#8a14ff"
"Turkey Creek Wine and Spirits","#00af00"
"Food City","#f97e00"
"McScrooges Wine and Spirits","#490091"
"Middlebrook Liquor Store","#00e1e1"
